,model_shape_id,gtfs_shape_id,LineID,operator,feed,service_id
0,114008,21121090,114008,1,metro,WEEKDAY
1,114003,21118349,114003,1,metro,WEEKDAY
2,114017,21183037,114017,1,metro,WEEKDAY
3,114077,30906002,114077,1,metro,WEEKDAY
4,114097,20001037,114097,1,metro,WEEKDAY
5,114121,11011051,114121,1,metro,WEEKDAY
6,114122,20011052,114122,1,metro,WEEKDAY
9,114126,10111035,114126,1,metro,WEEKDAY
10,114167,10131103,114167,1,metro,WEEKDAY
11,114170,10132383,114170,1,metro,WEEKDAY
12,114242,10190015,114242,1,metro,WEEKDAY
13,115385,21002556,115385,1,metro,WEEKDAY
14,115339,10121088,115339,1,metro,WEEKDAY
15,115369,20024104,115369,1,metro,WEEKDAY
16,115399,21221083,115399,1,metro,WEEKDAY
17,115400,21221092,115400,1,metro,WEEKDAY
21,115408,30271144,115408,1,metro,WEEKDAY
22,115409,40226431,115409,1,metro,WEEKDAY
23,114427,20348006,114427,1,metro,WEEKDAY
24,114461,11043041,114461,1,metro,WEEKDAY
25,114471,20044006,114471,1,metro,WEEKDAY
26,114472,20044009,114472,1,metro,WEEKDAY
34,114715,41265029,114715,1,metro,WEEKDAY
35,115345,10187010,115345,1,metro,WEEKDAY
36,115346,10221078,115346,1,metro,WEEKDAY
37,115377,20043034,115377,1,metro,WEEKDAY
38,115379,20067070,115379,1,metro,WEEKDAY
39,114131,10118346,114131,1,metro,WEEKDAY
40,114132,10118347,114132,1,metro,WEEKDAY
41,114161,11128033,114161,1,metro,WEEKDAY
42,114235,30186012,114235,1,metro,WEEKDAY
43,114236,41186009,114236,1,metro,WEEKDAY
44,114312,20024101,114312,1,metro,WEEKDAY
45,114313,20024102,114313,1,metro,WEEKDAY
46,114328,20245091,114328,1,metro,WEEKDAY
47,114329,11246311,114329,1,metro,WEEKDAY
48,114469,11044012,114469,1,metro,WEEKDAY
49,114473,11047005,114473,1,metro,WEEKDAY
50,114592,11775001,114592,1,metro,WEEKDAY
51,114297,40226429,114297,1,metro,WEEKDAY
60,114624,21917020,114624,1,metro,WEEKDAY
71,114522,10056090,114522,1,metro,WEEKDAY
72,114028,11025070,114028,1,metro,WEEKDAY
73,114311,11024099,114311,1,metro,WEEKDAY
77,114706,41232104,114706,1,metro,WEEKDAY
78,114647,20099012,114647,1,metro,WEEKDAY
79,114100,20010023,114100,1,metro,WEEKDAY
80,114109,11105009,114109,1,metro,WEEKDAY
81,114110,20105010,114110,1,metro,WEEKDAY
82,114254,21002563,114254,1,metro,WEEKDAY
83,114416,30331029,114416,1,metro,WEEKDAY
84,114420,11345014,114420,1,metro,WEEKDAY
91,114644,10988020,114644,1,metro,WEEKDAY
92,114650,11001027,114650,1,metro,WEEKDAY
95,115332,10004558,115332,1,metro,WEEKDAY
97,114006,10012004,114006,1,metro,WEEKDAY
98,114018,21183042,114018,1,metro,WEEKDAY
99,114023,30213014,114023,1,metro,WEEKDAY
100,114078,30914005,114078,1,metro,WEEKDAY
101,114080,30915033,114080,1,metro,WEEKDAY
102,114119,10107016,114119,1,metro,WEEKDAY
103,114120,21107015,114120,1,metro,WEEKDAY
104,114164,11013018,114164,1,metro,WEEKDAY
105,114166,20013020,114166,1,metro,WEEKDAY
106,114207,30164022,114207,1,metro,WEEKDAY
107,114208,41164020,114208,1,metro,WEEKDAY
108,114212,30168033,114212,1,metro,WEEKDAY
109,114213,41168032,114213,1,metro,WEEKDAY
110,114238,21187012,114238,1,metro,WEEKDAY
111,114239,21187013,114239,1,metro,WEEKDAY
112,114258,10201030,114258,1,metro,WEEKDAY
113,114314,11240078,114314,1,metro,WEEKDAY
114,114315,11240079,114315,1,metro,WEEKDAY
115,114319,20240083,114319,1,metro,WEEKDAY
116,114599,10887003,114599,1,metro,WEEKDAY
117,114351,20026063,114351,1,metro,WEEKDAY
118,114371,20028522,114371,1,metro,WEEKDAY
